number	status	branch	owner	patch_set	insertions	deletions	subject
8711	ABANDONED	b2_5	Jian Yu	1	1	0	LU-0000 tests: perform interop tests between b2_5 and b2_3
8712	ABANDONED	b2_5	Jian Yu	4	1	0	LU-0000 tests: perform sanity-hsm test
8715	ABANDONED	b1_8	Bob Glossman	1	1	1	LU-4287 kernel: test on Centos 6.5
8716	MERGED	b2_5	Bob Glossman	2	31	4	LU-4285 kernel: fix uninitialized access of quota got[] array
8717	MERGED	b2_5	Bob Glossman	2	46	12	LU-3889 osc: Allow lock to be canceled at ENQ time
8718	MERGED	master	John Hammond	2	109	100	LU-4429 llite: fix open lock matching in ll_md_blocking_ast()
8719	MERGED	master	John Hammond	2	8	7	LU-4430 mdt: check for MDS_FMODE_EXEC in mdt_mfd_open()
8720	MERGED	b2_5	James Nunez	2	3	3	LU-4176 tests: do not wait for deleted HSM request record
8721	ABANDONED	b2_5	Jian Yu	4	1	0	LU-0000 tests: perform tests on SLES11SP3
8722	ABANDONED	b2_5	Jian Yu	12	1	0	LU-0000 tests: perform tests on ZFS
8723	MERGED	b2_5	Jian Yu	2	42	14	LU-4223 utils: fixing loop leaking in utils
8727	MERGED	b2_5	Jian Yu	2	17	9	LU-3909 tests: sanity test 129 fix
8728	MERGED	b2_5	Zhenyu Xu	2	3	0	LU-4165 tests: skip sanity-lfsck test_2c for 2.4 or older
8729	MERGED	b2_5	Zhenyu Xu	3	1	1	LU-4270 test: fix sanity test_209
8733	MERGED	b2_5	Jian Yu	4	27	10	LU-4030 tests: use free_fd() to allocate file descriptor
8734	MERGED	b2_5	Jian Yu	4	9	0	LU-3920 tests: check MDS version before testing HSM feature
8737	MERGED	master	Bruno Faccini	9	45	3	LU-4293 mdd: Allow layout swap for IGIF FIDs
8738	MERGED	master	Swapnil Pimpale	4	0	7	LU-3181 mdt: mdt_cross_open should allow open by FID on MDT1
8739	ABANDONED	master	Hongchao Zhang	1	29	0	INTL-15 ldiskfs: debug patch
8744	MERGED	master	Chuck Fossen	5	6038	193	LU-4431 lnet: 1/3/2014 update for Cray interconnects
8747	MERGED	master	Andreas Dilger	4	5	0	LU-4386 osc: don't activate deactivated obd_import
8750	ABANDONED	master	Fan Yong	3	49	58	LU-4445 obdclass: operate lu_device_type fileds properly
8751	ABANDONED	b2_5	Hongchao Zhang	1	2	0	INTL-15 ldiskfs: debug patch
8756	ABANDONED	b2_5	Hongchao Zhang	1	29	0	INTL-15 ldiskfs: debug patch
8758	ABANDONED	b2_4	Zhenyu Xu	1	5	1	LU-4376 osd: add debug info for journal start race
8759	ABANDONED	master	Zhenyu Xu	1	1	0	LU-4269 ldlm: add ldlm lock debug info
8760	ABANDONED	master	Fan Yong	12	13962	1561	LU-1267 lfsck: composed LFSCK phase II patch
8762	MERGED	master	Bob Glossman	2	3	3	LU-4299 kernel: kernel update [SLES11 SP3 3.0.101-0.8]
8763	ABANDONED	b2_5	Oleg Drokin	1	510	247	LU-TMP2.5-2 Testing for following patches:
8766	MERGED	b2_5	Bob Glossman	2	3	3	LU-4299 kernel: kernel update [SLES11 SP3 3.0.101-0.8]
8769	MERGED	b2_5	Jian Yu	2	3	0	LU-4072 tests: Decrease load on MDT for ZFS in sanity/24v
8770	MERGED	master	Liang Zhen	3	17	4	LU-4454 libcfs: warn if all HTs in a core are gone
8771	MERGED	b2_5	Jian Yu	2	8	2	LU-3939 tests: sanity-hsm/test_40 needs a local HSM_ARCHIVE
8772	MERGED	master	Li Xi	5	25	25	LU-4269 ldlm: Hold lock when clearing flag
8779	MERGED	b2_5	Bob Glossman	2	1	0	LU-4276 ldiskfs: enable read/write access by default
8780	MERGED	master	Emoly Liu	5	17	22	LU-3222 ofd: use of ofd_XXX helpers
8785	MERGED	master	Mikhail Pershin	3	1	2	LU-4349 target: count disconnected exports as stale
8786	MERGED	master	John Hammond	5	1	3	LU-4461 mdt: correct test in mdt_seq_fini_cli()
8788	MERGED	master	John Hammond	3	37	36	LU-4462 mdt: don't apply mdt_object_fid() to ERR_PTRs
8789	MERGED	master	Jinshan Xiong	4	16	9	LU-4446 tests: block on layout lock fix up on sanityn:51c
8796	MERGED	master	Emoly Liu	6	1	1	LU-4442 test: fix wrong usage of wait_mds_ost_sync()
8797	MERGED	master	Swapnil Pimpale	2	12	20	LU-3868 osc: Update inode timestamp for lockless IO as well
8799	MERGED	master	Yang Sheng	3	18	1	LU-4416 utils: loop_control device support
8800	MERGED	master	Yang Sheng	2	28	6	LU-4416 mem: truncate_pagecache oldsize removed
8801	MERGED	master	Yang Sheng	2	26	0	LU-4416 llite: struct kiocb ki_left removed
8803	ABANDONED	master	Chris Horn	1	132	7	LU-4473 lnet: lctl down_interfaces and up_interfaces
8804	ABANDONED	master	Andreas Dilger	8	115	119	LU-4371 tests: remove hard-coded UID values
8805	ABANDONED	master	wangdi	3	1247	1670	LU-0000 tests: remove LU-3531 to check the status
8806	MERGED	master	Liang Zhen	16	343	269	LU-181 ptlrpc: reorganize ptlrpc_request
8810	MERGED	master	Mikhail Pershin	2	4	2	LU-4384 target: don't set OBD_INCOMPAT_FID for OST
8811	MERGED	b2_5	Jian Yu	2	27	10	LU-4030 tests: use free_fd() to allocate file descriptor
8812	ABANDONED	b2_5	Jian Yu	2	1	0	LU-0000 tests: perform tests on DNE
8815	MERGED	master	Liang Zhen	3	5	1	LU-3618 ptlrpc: rq_commit_cb is called for twice
8816	MERGED	master	James Simmons	2	92	142	LU-3319 procfs: update nodemap proc handling to seq_files
8817	MERGED	master	James Simmons	7	286	205	LU-4476 kernel: support process namespace containers
8818	ABANDONED	master	Bruno Faccini	1	37	6	LU-4330 lnet: Allocate MEs and small MDs in own kmem_caches
8819	ABANDONED	b2_1	Bruno Faccini	7	60	7	LU-4330 lnet: Allocate MEs and small MDs in own kmem_caches
8821	MERGED	master	Nathaniel Clark	7	8	9	LU-4472 mdc: Fix mdc_page_locate ASSERT
8823	ABANDONED	master	Sarah Liu	1	3	3	LU-4181 test: Re-enable lnet-selftest for DNE mode
8824	MERGED	b2_5	Sarah Liu	2	51	14	LU-2687 test: add b2_4 zfs image for conf-sanity test_32a
8826	MERGED	master	wangdi	16	157	117	LU-2430 mdt: Add global rename lock.
8827	MERGED	master	Patrick Farrell	11	32	13	LU-4471 mdd: mdd_unlink: do trans_start after sanity check
8828	ABANDONED	master	Niu Yawei	1	2	5	LU-4474 ldiskfs: don't grab s_umount in ldiskfs_quota_off
8829	MERGED	master	Li Xi	4	29	20	LU-4478 ldiskfs: fix problem when ldiskfs_acct_on() fails
8832	ABANDONED	b2_4	Jian Yu	2	39	23	LU-3189 tests: add version check code into sanity test 53
8833	MERGED	master	Jian Yu	5	39	23	LU-3189 tests: add version check code into sanity test 53
8834	MERGED	b2_5	Jian Yu	3	39	23	LU-3189 tests: add version check code into sanity test 53
8835	ABANDONED	b2_1	Jian Yu	3	51	12	LU-3189 tests: add version check code into sanity test 53
8836	MERGED	master	Dmitry Eremin	5	51	44	LU-4484 lbuild: add support for fresh versions of MPSS 3.x.x
8837	ABANDONED	master	Dmitry Eremin	2	13	2	LU-4484 lbuild: avoid proxy for Intel intranet downloads
8839	ABANDONED	b1_8	Niu Yawei	1	1	0	LU-0000 test: test
8840	ABANDONED	b1_8	Jian Yu	3	48	9	LU-3189 tests: add version check code into sanity test 53
8841	MERGED	master	Nathaniel Clark	2	4	3	LU-4444 tests: Skip conf-sanity/69 on zfs
8842	MERGED	master	Mikhail Pershin	4	2	1	LU-4480 tests: set fail_val in sanity test_36f
8847	MERGED	b2_5	Bob Glossman	3	24	14	LU-4405 mdc: use ibits_known mask for lock match
8853	MERGED	master	Dmitry Eremin	10	26	21	LU-4488 build: fix compilation with --enable-invariants
8854	MERGED	b2_5	Jian Yu	2	4	3	LU-4444 tests: Skip conf-sanity/69 on zfs
8857	MERGED	master	Nathaniel Clark	4	8	7	LU-4406 osd-zfs: Correct number of integers for zap key
8872	MERGED	master	Li Xi	5	26	8	LU-4199 libcfs: add wrapper of dump_trace()
8873	MERGED	master	Li Xi	3	33	0	LU-4199 libcfs: add CPU table functions for uniprocessor
8875	ABANDONED	master	Bruno Faccini	1	20	0	LU-3946 ptlrpc: Allow to force crash-dump vs log upon evict
8877	MERGED	master	Li Xi	4	6	1	LU-4199 libcfs: add wrapper of PAGE_SIZE
8878	ABANDONED	master	Li Xi	1	38	27	LU-4199 build: add ARM support in build system
8881	MERGED	master	Zhenyu Xu	14	613	127	LU-4648 ldiskfs: delete external EA in another transaction
8882	MERGED	b2_5	Bob Glossman	4	9	4	LU-4196 build: Build support for OFED-3.5 and SLES 11
8883	MERGED	master	Dmitry Eremin	4	2	2	LU-4369 build: make --disable-ldiskfs option workable
8884	MERGED	master	James Simmons	7	11	6	LU-4196 build: Reenable OFED-3.5 support on SLES11
8890	MERGED	master	wangdi	8	26	25	LU-4456 osp: extra check for opd_pre
8893	ABANDONED	b2_5	Bob Glossman	1	11	4	LU-4263 osd-zfs: Avoid converting last ID FIDs to OST IDs
8904	ABANDONED	master	Chris Gearing	8	1	1	TEI-000 test: test-infrastructure, JL Test
8911	MERGED	master	Niu Yawei	5	27	24	LU-4482 grant: don't use cache data in osd_statfs()
8912	MERGED	master	Andreas Dilger	4	32	23	LU-1538 tests: unmount /sbin/mount.lustre bind mount
8918	MERGED	master	Jian Yu	9	30	28	LU-4460 mount: fix lmd_parse() to handle comma-separated NIDs
8922	MERGED	master	Liang Zhen	4	50	34	LU-4509 ptlrpc: re-enqueue ptlrpcd worker
8924	NEW	master	Hongchao Zhang	8	58	33	LU-4463 ptlrpc: fix race in ptlrpc_set_wait
8928	ABANDONED	master	James Simmons	1	2	0	LU-4194 ldlm: set l_lvb_type coherent when layout is returned
8929	ABANDONED	master	James Simmons	1	3	3	LU-4194 ldlm: Make OBD_[ALLOC|FREE]_LARGE use consistent
8931	MERGED	master	Oleg Drokin	2	216	236	Revert "LU-3319 procfs: move osp proc handling to seq_files"
8934	MERGED	b2_5	Michael MacDonald	5	73	13	LU-4512 hsm: Fix lhsmtool_posix --report option
8935	MERGED	master	wangdi	4	80	56	LU-3531 mdc: release dir page cache after accessing
8936	ABANDONED	b2_1	Zhenyu Xu	3	45	76	LU-4498 llite: process dir page hash collision
8938	ABANDONED	b2_5	James Simmons	3	2	0	LU-4194 ldlm: set l_lvb_type coherent when layout is returned
8939	ABANDONED	b2_5	James Simmons	2	3	3	LU-4194 ldlm: Make OBD_[ALLOC|FREE]_LARGE use consistent
8940	ABANDONED	b2_5	James Simmons	7	156	88	LU-793 ptlrpc: allow client to reconnect with RPC in progress
8942	ABANDONED	b1_8	Kit Westneat	1	12	0	LU-4264 kernel: fix memory leak in mlx driver
8943	MERGED	master	James Simmons	2	183	92	LU-3319 lprocfs: client side cleanups
8947	MERGED	master	Oleg Drokin	2	7	2	LU-2818 mdt: Properly handle ENOMEM
8949	MERGED	master	Andreas Dilger	3	13	11	LU-4397 utils: fix lfs_df loop for disconnected client
8951	MERGED	master	Bob Glossman	3	4	4	LU-4356 kernel: kernel update [SLES11 SP2 3.0.101-0.7]
8953	MERGED	master	Oleg Drokin	4	1	2	LU-4423 o2iblnd: use is_vmalloc_addr to check for vmalloc address
8954	MERGED	master	Niu Yawei	3	24	9	LU-4505 quota: race of edquot updating
8956	ABANDONED	master	Niu Yawei	1	32	8	LU-4245 quota: debug patch
8964	MERGED	master	Ryan Haasken	5	8	2	LU-4129 libcfs: Only dump log once per sec. to avoid EEXIST
8968	MERGED	master	Niu Yawei	3	11	10	LU-4529 quota: call qsd_op_end() after trasn stop
8970	MERGED	master	Zhenyu Xu	3	1	1	LU-4503 clio: lu_ref_del() mismatch ref add scope
8971	ABANDONED	master	Alexey Lyashkov	3	23	13	LU-4495 ldlm: distributed deadlock with clio.
8972	ABANDONED	master	Emoly Liu	1	5	0	LU-4442 mdt: check version for the child in mdt_reint_link
8973	MERGED	master	Emoly Liu	3	8	1	LU-4442 test: add version check for replay-vbr.sh test_7g
8977	NEW	master	Andreas Dilger	9	861	923	LU-3496 oss: rename OST_* RPC opcodes to OSS_*
8978	MERGED	master	Andreas Dilger	4	8	11	LU-4515 tests: set fail_loc only once per node
8979	MERGED	master	Nathaniel Clark	14	4	4	LU-5203 zfs: Update spl/zfs version to 0.6.3
8981	MERGED	master	Fan Yong	5	3	0	LU-4515 tests: disable sanity-quota test_34 temporary
8982	NEW	master	Sarah Liu	12	168	65	LU-4651 tests: run e2fsck after every test script
8988	MERGED	master	Andreas Dilger	2	19	15	LU-4522 llite: quiet console permission error messages
8989	MERGED	master	Emoly Liu	3	22	27	LU-4517 tests: get params directly in _wait_osc_import_state
8996	MERGED	master	Andreas Dilger	4	31	24	LU-4413 ptlrpc: don't try to recover no_recov connection
8997	MERGED	master	wangdi	3	10	15	LU-4413 osp: move seq allocation out of osp_import_event
8999	ABANDONED	master	Fan Yong	3	26	25	LU-4456 osp: extra check for opd_pre
9004	MERGED	master	Emoly Liu	8	195	210	LU-4524 ldlm: improve ldlm_lock_create() return value
9005	ABANDONED	master	Oleg Drokin	1	346	12	LU-4186 Obtain jobid invormation via upcall
9006	MERGED	b2_5	Jian Yu	3	242	59	LU-4106 scrub: Trigger OI scrub properly
9007	ABANDONED	b2_4	Jian Yu	1	27	27	LU-4460 mount: fix lmd_parse() to handle comma-separated NIDs
9009	ABANDONED	master	Hongchao Zhang	2	1	1	LU-1639 test: debug patch
9010	ABANDONED	b2_4	Gregoire Pichon	1	18	13	LU-3806 obdclass: add LCT_SERVER_SESSION for server session
9013	MERGED	b2_5	Bob Glossman	6	247	141	LU-3373 misc: small changes for 3.10 server support
9014	MERGED	master	Bruno Faccini	4	2	0	LU-3852 tests: disable test_251 from inside sanity-hsm
9021	MERGED	master	Andreas Dilger	2	2	2	LU-2524 tests: run sanity test_51ba in test_51b dir
9022	MERGED	master	wangdi	3	10	4	LU-4551 tests: add range support in ONLY
9029	MERGED	b2_5	Jian Yu	3	30	28	LU-4460 mount: fix lmd_parse() to handle comma-separated NIDs
9034	MERGED	master	Michael MacDonald	2	73	13	LU-4512 hsm: Fix lhsmtool_posix --report option
9036	MERGED	master	Jinshan Xiong	2	3	2	LU-4540 llite: deadlock for page write
9038	MERGED	master	James Simmons	13	275	222	LU-3319 procfs: fix symlink handling
9042	MERGED	master	Li Xi	2	1	0	LU-4199 llite: Init lli_lmv_md field of struct ll_inode_info
9044	ABANDONED	master	Li Xi	1	18	0	LU-4557 ldiskfs: pre-mount/umount ldiskfs to fix inconsistency
9046	ABANDONED	master	Lai Siyao	1	1	0	LU-4499 nrs: initalize orro->oo_hnode before use
9054	ABANDONED	master	John Hammond	1	143	77	LU-4459 mdt: reject RPCs sent to wrong MDT
9056	MERGED	master	Bob Glossman	2	1	1	LU-4470 build: wrong linux symbol file search
9059	MERGED	master	Oleg Drokin	16	372	154	LU-4563 Fix unsafe userspace access in many proc files
9061	ABANDONED	master	Andreas Dilger	4	152	167	LU-3539 osp: Fix a series of UPDATE_OBJ endianness bugs
9062	ABANDONED	b2_4	Bruno Faccini	2	22	0	LU-3946 ptlrpc: Allow to force crash-dump vs log upon evict
9063	MERGED	master	John Hammond	3	28	19	LU-4398 mdt: acquire an open lock for write or execute
9067	MERGED	master	Ned Bass	2	1	0	LU-4554 lfsck: old single-OI MDT always scrubbed
9070	ABANDONED	b2_4	Nathaniel Clark	2	50	41	LU-4249 lquota: Add diagnostic LBUG on lqe_getref/putref
9071	ABANDONED	b2_5	Michael MacDonald	2	1298	8	LU-4020 hsm: allow copytool event monitoring with JSON
9072	ABANDONED	b2_4	Minh Diep	2	9	8	LU-0000 build: build 2.4.2 client with MLNX2.1
9075	MERGED	master	Henri Doreau	4	57	13	LU-4569 hsm: Specify import source by FID.
9078	MERGED	master	Sergey Cheremencev	11	101	7	LU-4119 ldlm: abort recovery by time_hard
9092	ABANDONED	b2_4	Shuichi Ihara	1	23	18	LU-3952 nfs: don't panic NFS server if MDS fails to find FID
9095	MERGED	master	Dmitry Eremin	2	13	21	LU-4257 clio: replace semaphore with mutex
9096	MERGED	master	Matt Ezell	3	1	1	LU-4577 lnet: Dropped messages are not accounted correctly
9100	MERGED	master	Chris Horn	7	31	18	LU-4578 ptlrpc: Early replies need to honor at_max
9103	MERGED	b2_5	Bob Glossman	5	794	61	LU-4287 kernel: kernel update RHEL6.5 [2.6.32-431.3.1.el6]
9106	MERGED	master	wangdi	4	20	3	LU-4571 fld: resend seq lookup RPC if it is on LWP
9107	ABANDONED	b2_5	Oleg Drokin	1	42	30	LU-TEST-2.5.1 this is a compat test
9109	MERGED	b2_5	James Simmons	6	57	81	LU-4266 build: fix lbuild to work with OFED-3.5-x
9127	ABANDONED	master	Oleg Drokin	1	39	6	LU-4597 ldlm: Add some extra checks for ldlm timeout handling
9130	MERGED	master	Alex Zhuravlev	2	1	1	LU-4586 ptlrpc: cast type in the swith op
9134	MERGED	b2_5	Bob Glossman	2	2	0	LU-4178 tests: disable HSM sanity subtests
9139	MERGED	b2_5	James Nunez	2	1	0	LU-4554 lfsck: old single-OI MDT always scrubbed
9140	ABANDONED	b2_4	James Nunez	1	1	0	LU-4554 lfsck: old single-OI MDT always scrubbed
9141	ABANDONED	b2_5	Cheng Shao	1	1	1	LU-4582 mgc: replace hard-coded MGC_ENQUEUE_LIMIT value
9147	MERGED	master	Cheng Shao	2	0	3	LU-4590 ptlrpc: Remove log message about export timer update
9149	MERGED	master	Bob Glossman	2	3	2	LU-4589 kernel: kernel update [SLES11 SP3 3.0.101-0.15]
9150	MERGED	b2_5	Bob Glossman	2	3	2	LU-4589 kernel: kernel update [SLES11 SP3 3.0.101-0.15]
9152	MERGED	master	Jinshan Xiong	4	1	35	LU-4381 lov: to not hold sub locks at initialization
9156	ABANDONED	master	James Simmons	2	18	0	LU-4300 ptlrpcd: work around for cl_lock_mutex_get deadlock
9160	ABANDONED	master	Nathaniel Clark	1	15	1	LU-4200 tests: Add debugging for replace_nids errors
9164	ABANDONED	b2_4	James Simmons	1	38	6	LU-4570 ldlm: Add some extra checks for ldlm timeout handling
9167	ABANDONED	master	Sarah Liu	2	8	7	LU-2687 tests: 3531 + 4406
9169	ABANDONED	master	Sarah Liu	4	8	7	LU-2687 tests: revert 3531 plus 4406
9171	MERGED	master	Andriy Skulysh	4	7	1	LU-4596 lprocfs: mdt/*/exports/*/uuid is empty after remount
9173	ABANDONED	b2_4	Bob Glossman	2	4	4	LU-4356 kernel: kernel update [SLES11 SP2 3.0.101-0.7]
9174	MERGED	master	Zhenyu Xu	2	118	77	LU-3373 osd-ldiskfs: export ext4_truncate
9175	MERGED	master	Jinshan Xiong	3	63	51	LU-4300 ldlm: ELC picks locks in a safer policy
9176	MERGED	b2_5	Jian Yu	2	59	36	LU-4154 lfsck: skip old lfsck test in DNE mode
9177	MERGED	master	Niu Yawei	2	2	2	LU-4598 quota: fix s-q test_30
9178	MERGED	master	Oleg Drokin	2	19	201	Revert "LU-1778 libcfs: add a service that prints a nidlist"
9184	MERGED	master	Andreas Dilger	4	33	22	LU-2524 tests: clean up conf-sanity test_38 for ZFS
9185	MERGED	master	Andreas Dilger	2	7	7	LU-3059 lu: shrink lu_object_header by 8 bytes on x86_64
9186	MERGED	master	Fan Yong	4	18	54	LU-4525 lfsck: distinguish objects visibility by LFSCK
9187	MERGED	master	Zhenyu Xu	3	52	3	LU-4382 ldiskfs: add quota credit for ldiskfs_delete_inode
9190	MERGED	master	Alex Zhuravlev	2	1	1	LU-4602 utils: do not include <linux/fs.h>
9191	MERGED	master	Li Xi	29	331	86	LU-4603 lmv: a few fixes about readdir of striped dir.
9194	ABANDONED	b2_4	Niu Yawei	2	46	12	LU-3889 osc: Allow lock to be canceled at ENQ time
9199	MERGED	master	James Simmons	3	0	385	LU-20 kernel: remove rest of obsolete kernel patches
9202	ABANDONED	master	Sergey Cheremencev	4	28	7	LU-4594 mdt: allow evict client by nid through proc
9203	MERGED	master	Fan Yong	3	3	0	LU-4422 tests: disable sanity-quota test_6 temporary
9205	ABANDONED	master	Bobbie Lind	7	0	0	LU-4331 recovery: Finding ZFS error
9209	ABANDONED	b2_4	Bob Glossman	3	208	137	LU-793 ptlrpc: allow client to reconnect with RPC in progress
9210	ABANDONED	b2_4	Bob Glossman	1	1	2	LU-4349 target: count disconnected exports as stale
9211	ABANDONED	b2_4	Bob Glossman	1	10	0	LU-4413 osp: move seq allocation out of osp_import_event
9212	MERGED	b2_5	Andreas Dilger	2	86	16	LU-3834 mdt: handle swap_layouts failures during restore
9213	MERGED	b2_5	Andreas Dilger	2	15	1	LU-3528 mdt: check object exists for remote directory
9214	ABANDONED	master	Bobbie Lind	6	0	0	LU-4440 replay: ZFS timeout on subtest 74
9217	MERGED	master	Cheng Shao	2	4	1	LU-4582 mgc: replace hard-coded MGC_ENQUEUE_LIMIT value
9218	MERGED	master	Alex Zhuravlev	3	3	3	LU-4543 osd: return actual hash value for a record
9219	MERGED	master	James Simmons	3	9	1	LU-4199 libcfs: Handle nodemask on UMP machines
9221	MERGED	master	Gregoire Pichon	2	202	19	LU-1778 libcfs: add a service that prints a nidlist
9223	MERGED	master	Ann Koehler	5	481	483	LU-4357 libcfs: restore __GFP_WAIT flag to memalloc calls
9224	MERGED	master	Bob Glossman	4	1	1	LU-4612 lvfs: correct call to pop_ctxt
9230	MERGED	master	Jinshan Xiong	2	13	36	LU-4614 llite: remove lustre_generic_file_{read,write}
9235	MERGED	master	Bruno Faccini	2	4	0	LU-4613 tests: purge older request result in test_12o
9243	ABANDONED	master	Patrick Farrell	1	14	19	LU-4538 vvp: cleanup error messages
9248	ABANDONED	b2_5	Oleg Drokin	2	356	47	LU-4253 osc: Don't flush active extents.
9249	MERGED	master	Niu Yawei	2	1	0	LU-4597 clio: clear nowait flag agl lock re-enqueue
9252	ABANDONED	b2_1	Andreas Dilger	1	39	35	LU-459 tests: quiet spurious console/test messages
9253	MERGED	master	Bob Glossman	3	7	7	LU-4620 kernel: kernel update [RHEL6.5 2.6.32-431.5.1.el6]
9254	ABANDONED	b2_5	Nathaniel Clark	1	37	5	LU-4208 osd-zfs: hold pool config lock to register property
9255	ABANDONED	b2_4	Nathaniel Clark	1	37	5	LU-4208 osd-zfs: hold pool config lock to register property
9256	MERGED	b2_5	Nathaniel Clark	2	37	5	LU-4208 osd-zfs: hold pool config lock to register property
9257	MERGED	master	Fan Yong	5	706	355	LU-3950 lfsck: control all LFSCK nodes via single command (2)
9258	MERGED	master	Alex Zhuravlev	15	244	99	LU-4611 osd: improve credits calculation
9260	MERGED	b2_5	Bob Glossman	2	111	100	LU-4429 llite: fix open lock matching in ll_md_blocking_ast()
9261	ABANDONED	b2_5	Bob Glossman	1	3	6	LU-1095 debug: clean up console messages
9263	ABANDONED	b2_5	Bob Glossman	1	2	4	LU-1095 debug: quiet overly verbose info message
9264	MERGED	b2_5	Bob Glossman	5	219	135	LU-3386 lproc: improve osc/mdc "imports" connect data
9267	MERGED	master	Zhenyu Xu	4	4	2	LU-4627 llite: deed taking lli_trunc_sem during file write
9268	MERGED	master	Peng Tao	2	50	52	LU-3963 libcfs: remove cfs_hash_long
9269	ABANDONED	master	Peng Tao	2	1	1	LU-3963 llite: fix coccinelle warnings
9271	ABANDONED	master	Peng Tao	1	2	8	LU-4631 llite: fix ll_readdir EOF handling
9272	ABANDONED	master	Peng Tao	1	0	58	LU-4632 llite: don't touch atime in ll_readdir
9273	MERGED	master	Dmitry Eremin	3	1	1	LU-4629 llite: fix suspicious dereference (merge issue)
9274	MERGED	master	Dmitry Eremin	3	14	15	LU-4629 gss: fix few issues found by Klocwork Insight tool
9275	MERGED	master	Swapnil Pimpale	79	1048	81	LU-3606 fallocate: Implement fallocate preallocate operation
9276	ABANDONED	master	Dmitry Eremin	10	270	114	LU-4629 ptlrpc: fix NULL pointer dereference
9277	MERGED	master	Hongchao Zhang	3	109	0	LU-4557 ldiskfs: init statfs variables after journal
9278	MERGED	b2_5	Bob Glossman	2	45	3	LU-4293 mdd: Allow layout swap for IGIF FIDs
9280	MERGED	b2_5	Bob Glossman	3	11	4	LU-4343 tests: mkdir failing in sanity-hsm test 228
9281	MERGED	master	Alex Zhuravlev	2	218	0	LU-4290 llog: discard unavailable records and keep going
9283	MERGED	b2_5	Jian Yu	2	5	0	LU-4386 osc: don't activate deactivated obd_import
9284	ABANDONED	master	James Simmons	1	57	81	LU-4266 build: fix lbuild to work with OFED-3.5-x
9286	MERGED	master	Sergey Cheremencev	7	113	0	LU-3266 test: regression tests for nrs policies
9287	MERGED	master	Dmitry Eremin	2	1	1	LU-4625 gss: fixup for shared key mechanism & flavors
9288	MERGED	b2_5	Jian Yu	3	1	1	LU-4470 build: wrong linux symbol file search
9289	ABANDONED	b2_5	Jian Yu	1	1	1	LU-4442 test: fix wrong usage of wait_mds_ost_sync()
9290	MERGED	b2_5	Jian Yu	3	9	2	LU-4442 test: add version check for replay-vbr.sh test_7g
9294	MERGED	master	Dmitry Eremin	5	73	86	LU-4588 code: replace semaphores with mutexes
9295	MERGED	b2_5	Jian Yu	2	4	0	LU-4613 tests: purge older request result in test_12o
9298	ABANDONED	master	Chris Horn	2	5	3	LU-4578 ptlrpc: Adjust client rq_deadline for early reply
9299	MERGED	master	Joshua Walgenbach	44	2039	791	LU-4647 nodemap: add mapping functionality
9300	MERGED	master	Yang Sheng	21	339	165	LU-4416 mm: Backport shrinker changes from upstream
9304	ABANDONED	master	Jian Yu	1	1	1	LU-4643 tests: increase timeout value in sanity-hsm test 60
9305	ABANDONED	b2_5	Jian Yu	1	1	1	LU-4643 tests: increase timeout value in sanity-hsm test 60
9306	MERGED	master	Dmitry Eremin	4	10	3	LU-4496 build: enable RPMs build with --disable-modules
9309	MERGED	master	Dmitry Eremin	2	130	59	LU-3953 build: configure output improvments
9310	MERGED	master	Henri Doreau	2	18	24	LU-4545 hsm: Always report errors to coordinator.
9311	MERGED	b2_5	James Nunez	3	1	1	LU-4577 lnet: Dropped messages are not accounted correctly
9313	ABANDONED	master	Bruno Faccini	1	2	0	LU-4643 tests: disable sanity-hsm/test_60 due to failures
9314	ABANDONED	b2_5	Bruno Faccini	1	2	0	LU-4643 tests: disable sanity-hsm/test_60 due to failures
9315	MERGED	b2_5	Bob Glossman	2	24	9	LU-4505 quota: race of edquot updating
9318	MERGED	b2_5	Bob Glossman	2	7	7	LU-4620 kernel: kernel update [RHEL6.5 2.6.32-431.5.1.el6]
9321	MERGED	master	wangdi	23	671	335	LU-3536 osp: move update packing into out_lib.c
9322	MERGED	master	Oleg Drokin	10	80	32	LU-4008 mdt: Shrink default LOVEA reply buffers
9323	MERGED	master	Dmitry Eremin	4	1	1	LU-4629 ldlm: fix NULL pointer dereference
9324	MERGED	master	Dmitry Eremin	2	0	5	LU-4629 liblustre: remove suspicious check
9325	MERGED	master	Dmitry Eremin	2	1	0	LU-4629 gss: fix uninitialized variable
9326	ABANDONED	b2_4	Bruno Faccini	1	5	0	LU-4584 ptlrpc: force to replay open upon truncate
9328	MERGED	b2_5	James Nunez	2	1	0	LU-4597 clio: clear nowait flag agl lock re-enqueue
9329	MERGED	master	John Hammond	2	11	4	LU-4320 mdt: fixup MDS_SWAP_LAYOUTS ELC handling
9331	MERGED	master	wangdi	2	8	8	LU-4516 mdc: missing lexxx_to_cpu in mdc_read_entry
9332	MERGED	master	Ryan Haasken	16	41	42	LU-4656 tests: Add MOUNT_FLAGS variable and rename MOUNTOPT
9333	MERGED	master	wangdi	2	1	0	LU-4658 fld: reset rc to 0 before resend fld lookup req
9334	MERGED	b2_5	Bob Glossman	2	52	3	LU-4382 ldiskfs: add quota credit for ldiskfs_delete_inode
9335	MERGED	master	Vitaly Fertman	7	119	50	LU-5520 ldlm: resend AST callbacks
