number	status	branch	owner	patch_set	insertions	deletions	subject
57668	NEW	b2_15	Etienne AUJAMES	1	54	11	LU-18468 llapi: always truncate mirrors on resync
57671	NEW	master	James Simmons	1	335	24	LU-10499 pcc: Add --pin option for 'lfs pcc attach' command
57672	ABANDONED	master	Alex Zhuravlev	6	506	2	LU-19294 tests: llog performance test
57675	MERGED	master	Frederick Dilger	22	290	137	LU-18418 utils: new lctl find_param option
57676	NEW	master	Zanhua Huang	4	20	2	LU-18615 mdt: setup protocal for super hide
57678	MERGED	master	Zhenyu Xu	31	39	19	LU-18618 ofd: handle filter_fid properly on server
57681	ABANDONED	master	Sebastien Buisson	4	1	1	LU-18591 dbg: sanity-krb on el9
57682	NEW	b2_15	Etienne AUJAMES	3	44	1	LU-17364 llite: don't use stale page.
57685	NEW	b2_15	Etienne AUJAMES	1	2	0	LU-16826 lfsck: init rec_fid before declare_insert
57686	NEW	b2_15	Etienne AUJAMES	1	44	0	LU-16826 tests: lfsck to repair a dangling remote entry
57687	NEW	b2_15	Etienne AUJAMES	1	25	5	LU-17385 tests: always_except sanity-lfsck/24
57691	MERGED	master	Alexandre Ioffe	5	127	53	LU-18503 utils: keepalive message from ofd_access_log_reader
57693	NEW	master	Emoly Liu	3	68	3	LU-18398 lctl: validate nodemap name in user space
57696	ABANDONED	master	Cyril Bordage	1	27	5	LU-18621 lnet: fix wrong lnetctl_net_show if net
57699	MERGED	master	Timothy Day	2	27	45	LU-18622 build: remove build/, save kconfig results
57701	MERGED	master	Sebastien Buisson	2	15	9	LU-18623 gss: rework memory allocation for wrap
57702	ABANDONED	master	Jian Yu	6	2	2	LU-18624 build: Update ZFS version to 2.2.7
57704	MERGED	master	Andreas Dilger	2	1	1	LU-12572 tests: wait longer to clean up files
57705	ABANDONED	master	Jian Yu	1	5	5	LU-18616 kernel: update RHEL 9.5 [5.14.0-503.21.1.el9_5]
57706	ABANDONED	master	Jian Yu	2	4	4	LU-18617 kernel: update RHEL 8.10 [4.18.0-553.34.1.el8_10]
57707	MERGED	master	Jian Yu	2	2	2	LU-18604 kernel: update SLES15 SP6 [6.4.0-150600.23.30.1]
57712	ABANDONED	master	Arshad Hussain	1	149	149	LU-6142 obd: Fix style issues for obd_support.h (2/3)
57713	ABANDONED	master	Arshad Hussain	1	230	228	LU-6142 obd: Fix style issues for obd_support.h (3/3)
57714	NEW	master	Alexander Zarochentsev	4	40	11	LU-18620 tests: sanity_lfsck test 35 improvements
57717	MERGED	master	Max Wang	4	24	1	LU-18626 mdd: allow chgrp with read-only permissions
57719	MERGED	master	Shaun Tancheff	10	285	3	LU-18627 build: Enable gcov coverage
57725	MERGED	master	Arshad Hussain	7	363	162	LU-9633 llite: Add kernel doc style for lustre/llite/*.c (Part 1)
57741	MERGED	master	kg.xu	38	235	47	LU-17427 mdt: reduce hold time for BFL rename lock
57743	MERGED	master	Timothy Day	3	6	14	LU-17848 osd: move fid_is_fs_root() to lustre_fid.h
57747	ABANDONED	master	Zhenyu Xu	16	53	32	LU-0000 debug: handle filter_fid properly on OFD
57748	NEW	master	Qian Yingjin	8	410	40	LU-18456 tcu: move regular files into trash upon last unlink
57749	MERGED	master	Aurelien Degremont	4	4	0	LU-18632 debian: add uapi headers to dkms module package
57752	MERGED	master	Sebastien Buisson	6	88	86	LU-18633 gss: carry out creds negotiation as user
57753	MERGED	master	Yang Sheng	8	29	2	LU-18625 llite: use locks_copy_lock API
57754	MERGED	master	James Simmons	8	19	19	LU-15420 sec: handle fscrypt_require_key removal in newer kernels
57762	NEW	master	Zanhua Huang	3	356	1	LU-18615 mdt: support lfs hide [path]
57763	MERGED	master	kg.xu	6	137	28	LU-17055 ldiskfs: add falloc(zero) for OST/ext
57767	NEW	b2_15	Etienne AUJAMES	3	44	0	LU-16973 ptlrpc: flush delayed file desc if idle
57768	NEW	b2_15	Etienne AUJAMES	3	19	0	LU-16973 osd: adds SB_KERNMOUNT flag
57769	NEW	b2_15	Etienne AUJAMES	3	175	0	LU-15404 ldiskfs: fix truncate during setxattr for el7.9
57770	NEW	b2_15	Etienne AUJAMES	3	115	12	LU-16032 osd: move unlink of large objects to separate thread
57771	NEW	b2_15	Etienne AUJAMES	3	80	39	LU-18463 ptlrpc: removing cfs_flush_fput idle
57773	NEW	b2_15	Etienne AUJAMES	1	24	17	LU-18483 ldlm: serialize parallel lock res change requests
57776	NEW	master	Artem Blagodarenko	19	4584	4	LU-10026 lustre: add lz4 and lz4hc kernel modules
