key	status	resolution	priority	type	assignee	summary
LU-12802	Resolved	Fixed	Minor	Improvement	Emoly Liu	racer test stucks after test finishes
LU-12803	Resolved	Fixed	Minor	Bug	James A Simmons	lustre in staging interferes with 2.12.2 on Ubuntu 18.04
LU-12804	Open	Unresolved	Minor	Improvement	WC Triage	add llapi interface to FLDB for FID->target mapping
LU-12805	Open	Unresolved	Minor	Bug	WC Triage	replay-single/36 is broken
LU-12806	Resolved	Fixed	Minor	Improvement	Quentin Bouget	llapi: have llapi_fd2fid rely on name_to_handle_at() rather than ioctl()
LU-12807	Resolved	Fixed	Major	Bug	Andreas Dilger	runtests test 1 fails with ''Space not all freed: now 180500kB, was 180424kB.''
LU-12808	Resolved	Fixed	Minor	Bug	Wang Shilong	jobid_get_from_cache softlockup.
LU-12809	Resolved	Fixed	Minor	Bug	Alex Zhuravlev	recovery-small/110k gets stuck at client umount
LU-1281	Resolved	Fixed	Minor	Task	Andreas Dilger	e2fsck: Inodes that were part of a corrupted orphan linked list found.
LU-12810	Open	Unresolved	Minor	Bug	WC Triage	replay-single test 20b fails with 'after 180548 > before N + 50'
LU-12811	Resolved	Fixed	Critical	Bug	Emoly Liu	lustre_swab_fiemap needs to check fm_mapped_extents
LU-12812	Open	Unresolved	Minor	Bug	Oleg Drokin	use-after-free in ll_update_inode
LU-12813	Open	Unresolved	Critical	Bug	WC Triage	sanity 300g,h MDS crash with kernel NULL pointer dereference lod_index_try
LU-12814	Resolved	Fixed	Minor	Question/Request	Zhenyu Xu	lov: stripe_count variable set but unused
LU-12815	Resolved	Fixed	Minor	Technical task	Amir Shehata	Create multiple TCP sockets per SockLND
LU-12816	Resolved	Fixed	Minor	Bug	Ann Koehler	LBUG: (niobuf.c:350:ptlrpc_register_bulk()) ASSERTION( !(desc->bd_registered && req->rq_send_state != LUSTRE_IMP_REPLAY) || mbits != desc->bd_last_mbits )
LU-12817	Resolved	Duplicate	Minor	Task	Amir Shehata	lnet: module parameters are not set correctly
LU-12818	Resolved	Cannot Reproduce	Minor	Bug	Hongchao Zhang	replay-single test_70b and other tests fail with “Numerical result out of range” error
LU-12819	Closed	Not a Bug	Minor	Question/Request	Minh Diep - TLC	Cannot push to fs/lustre-release.git. Fails with "fatal: remote error: access denied or repository not exported: /fs/lustre-release.git"
LU-1282	Closed	Won't Fix	Major	Bug	Zhenyu Xu	Lustre 2.1 client memory usage at mount is excessive
LU-12820	Resolved	Fixed	Minor	Improvement	Neil Brown	obd_dirty_transit_pages is always zero and can be removed
LU-12821	Open	Unresolved	Minor	Improvement	Dominique Martinet	Replace the posix copytool with robinhood's generic copytool
LU-12822	Reopened	Unresolved	Trivial	Bug	Alex Zhuravlev	gcc9 support
LU-12823	Resolved	Fixed	Trivial	Bug	Alex Zhuravlev	basename in test-framework to support capital alphabets
LU-12824	Resolved	Fixed	Critical	Bug	Chris Horn	Unable to add single Infiniband interface to multiple o2ib LNets
LU-12825	Resolved	Fixed	Minor	Improvement	Minh Diep - TLC	Build MOFED 4.7
LU-12826	Resolved	Fixed	Major	Bug	Wang Shilong	Project quotas: users can change project IDs
LU-12827	Reopened	Unresolved	Minor	Bug	Dongyang Li	sanity: test 900 read-only filesystem during cleanup: ldiskfs_xattr_block_get() bad block
LU-12828	Resolved	Fixed	Critical	Bug	Andriy Skulysh	FLOCK request can be processed twice during resend
LU-12829	Open	Unresolved	Minor	Bug	WC Triage	sanity-quota test 61 fails with 'write succeed, expect EDQUOT'
LU-1283	Resolved	Fixed	Minor	Bug	Minh Diep - TLC	2.2.0 fails to build from source
LU-12830	Resolved	Cannot Reproduce	Minor	Bug	WC Triage	RHEL8.3 and ZFS: oom on OSS
LU-12831	Open	Unresolved	Major	Bug	WC Triage	sanity test_413b timed out
LU-12832	Resolved	Not a Bug	Major	Bug	Wang Shilong	soft lockup in ldlm_bl_xx threads at read for a single shared strided file
LU-12833	Resolved	Fixed	Major	Bug	Alexander Boyko	lustre_lwp_add_conn can't find lwp device
LU-12834	Open	Unresolved	Minor	Bug	Hongchao Zhang	MDT hung during failover
LU-12836	Resolved	Fixed	Minor	Bug	Tony Hutter	target's degraded property not reset after drive replaced
LU-12837	Resolved	Fixed	Minor	Improvement	Etienne Aujames	man pages for llapi_changelog_start() and all other llapi_changelog_*() functions
LU-12838	Resolved	Fixed	Critical	Bug	Andreas Dilger	ptlrpc watchdog ratelimiting is broken
LU-12839	Open	Unresolved	Minor	Bug	WC Triage	‘lctl pcc add …’ fails with “: Not a directory (20)”
LU-1284	Closed	Duplicate	Minor	Bug	Yang Sheng	CONF_SANITY test_50[bef]: FAIL: test_50b import is not in DISCONN state
LU-12840	Open	Unresolved	Minor	Bug	WC Triage	sanity-pcc test_16: unmount failed on busy target
LU-12841	Open	Unresolved	Minor	Improvement	WC Triage	Add ability for lctl get_param to get subfield of YAML output
LU-12842	Resolved	Fixed	Minor	Bug	Andreas Dilger	lctl llog_print doesn't accept snapshot names with leading number
LU-12843	Closed	Duplicate	Minor	Bug	WC Triage	sanity test_415: rename took 396 sec
LU-12844	Resolved	Fixed	Minor	Bug	Jian Yu	error: ‘strncpy’ specified bound depends on the length of the source argument
LU-12845	Resolved	Fixed	Minor	Improvement	James Nunez	Fix typos in ‘lctl pcc’ help message
LU-12846	Resolved	Fixed	Minor	Bug	Yang Sheng	could not delete orphan [0x2001ac5ff:0x3a30:0x0]: rc = -2
LU-12847	Resolved	Fixed	Minor	Bug	Andreas Dilger	Document llapi_data_version() command and lfs-data_version.1 command
LU-12848	Resolved	Fixed	Minor	Bug	Alexander Zarochentsev	Add test case for LU-11549
LU-12849	Closed	Cannot Reproduce	Minor	Bug	WC Triage	sanityn test 30 hangs with client LNet errors
LU-1285	Resolved	Fixed	Blocker	Bug	Andreas Dilger	Test failure on test suite sanity: get_stripe_info: command not found
LU-12850	Open	Unresolved	Minor	Bug	WC Triage	sanity-hsm test_254b: Restore requests took too  long to complete
LU-12851	Open	Unresolved	Minor	Bug	WC Triage	sanity-scrub test 1a fails with '(9) Expect 'inconsistent', but got '''
LU-12852	Resolved	Fixed	Critical	Bug	Emoly Liu	growing a PFL file with last stripe as -1 fails
LU-12853	Resolved	Fixed	Major	Bug	Alexander Boyko	general protection fault: 0000 RIP: keys_fill
LU-12854	Resolved	Fixed	Minor	Bug	Sebastien Buisson	Allow "true/false" or "on/off" for audit_mode on nodemap
LU-12856	Resolved	Fixed	Critical	Bug	Mikhail Pershin	LustreError: 82937:0:(ldlm_lib.c:3268:target_bulk_io()) @@@ truncated bulk READ 0(270336)
LU-12857	Resolved	Fixed	Minor	Bug	Amir Shehata	recovery-mds-scale test_failover_ost fails with “import is not in FULL state”
LU-12858	Open	Unresolved	Minor	Bug	Mikhail Pershin	recovery-mds-scale test failover_ost fails due to dd failure “dd: closing output file ‘/mnt/lustre/*/dd-file’: Input/output error”
LU-12859	Resolved	Fixed	Major	Bug	Andreas Dilger	Both "flock" and "localflock" appear in /proc/mounts
LU-1286	Resolved	Fixed	Blocker	Bug	Di Wang	OOPs in lprocfs_remove_nolock
LU-12860	Open	Unresolved	Minor	Bug	WC Triage	recovery-small test 55 fails with 'dd should be finished!'
LU-12861	Resolved	Fixed	Minor	Task	Shaun Tancheff	Add and use scnprintf() where using snprintf() is not handling return correctly
LU-12862	Open	Unresolved	Minor	Bug	WC Triage	sanity-scrub test_6: time out
LU-12863	Open	Unresolved	Minor	Bug	WC Triage	replay-single test_80f: remote creation failed
LU-12864	Open	Unresolved	Major	Bug	Zhenyu Xu	sanity-benchmark test_iozone crashes with OOM on clients
LU-12865	Resolved	Fixed	Minor	Bug	Andreas Dilger	sanity test 160f fails with ‘mds1: User cl6 not registered’
LU-12866	Closed	Fixed	Minor	Bug	James Nunez	interop: sanity-hsm test 113 fails with 'sizes are different 1048580 1048576'
LU-12867	Resolved	Fixed	Minor	Improvement	Lai Siyao	DNE3: new DNE2 hash function to handle rsync temporary filename
LU-12868	Open	Unresolved	Minor	Bug	WC Triage	sanity-quota test 65 100% failure
LU-12869	Open	Unresolved	Minor	Bug	WC Triage	interop: lustre-rsync-test test 2a fails with 'Failure in replication; differences found.'
LU-1287	Closed	Fixed	Major	Bug	Lai Siyao	MDS refuses client connections
LU-12870	Resolved	Fixed	Minor	Bug	Minh Diep - TLC	sanity-hsm test 9A fails with “uuid Dumping not found in agent list on mds1”
LU-12871	Resolved	Fixed	Minor	Improvement	Andreas Dilger	enable changelog garbage collection by default
LU-12872	Resolved	Duplicate	Minor	Improvement	Feng Lei	Adding more stats into JOBSTATS
LU-12873	Open	Unresolved	Minor	Improvement	Chris Horn	cleanup response tracking code
LU-12874	Open	Unresolved	Major	Bug	WC Triage	Ubuntu client testing instability
LU-12875	Open	Unresolved	Minor	Bug	WC Triage	PPC client sanity test_56o: lfs find -type d wrong
LU-12876	Open	Unresolved	Minor	Bug	WC Triage	PPC client sanity test_56wc: long option without argument not supported
LU-12877	Open	Unresolved	Minor	Bug	WC Triage	PPC client sanity test_77b: file compare failed
LU-12878	Open	Unresolved	Minor	Bug	WC Triage	PPC client: sanity test_130a: FIEMAP unsupported
LU-12879	Open	Unresolved	Minor	Bug	WC Triage	PPC client: sanity-flr test_0c: client crash
LU-1288	Resolved	Fixed	Major	Bug	Cliff White	Filesystem hang on file operations (ls, df hang) on the headnode and compute nodes
LU-12880	Open	Unresolved	Minor	Bug	WC Triage	PPC client: conf-sanity test_76a: error while apply max_dirty_mb
LU-12881	Open	Unresolved	Minor	Bug	WC Triage	PPC client: replay-single test_88: OSS crash
LU-12882	Open	Unresolved	Minor	Bug	WC Triage	PPC client: sanity-quota test_51: OSS crashed
LU-12883	Resolved	Low Priority	Minor	Bug	WC Triage	PPC client: lustre-rsync-test test_2a: lfs changelog: cannot access changelog: Invalid argument
LU-12884	Open	Unresolved	Minor	Bug	WC Triage	PPC client: lustre-rsync-test test_1A:Error in replicating xattrs
LU-12885	Resolved	Fixed	Minor	Improvement	Andreas Dilger	improve variable naming to clarify code usage
LU-12886	Resolved	Fixed	Minor	Bug	Amir Shehata	A lot of LNetError: lnet_peer_ni_add_to_recoveryq_locked() messages
LU-12887	Open	Unresolved	Minor	Task	Shaun Tancheff	Add additional unit test cases for LNet dynamic discovery to the Lustre test-framework
LU-12888	Resolved	Fixed	Trivial	Bug	Alex Zhuravlev	sanity.sh to remove big files
LU-12889	Resolved	Fixed	Critical	Bug	Chris Horn	Do not assume peers are MR capable
LU-1289	Resolved	Duplicate	Minor	Improvement	Andreas Dilger	Fix Linux module version
LU-12890	Open	Unresolved	Minor	New Feature	WC Triage	Use HSM to mirror sync files
LU-12891	Resolved	Won't Fix	Minor	Bug	Jian Yu	kernel update [RHEL7.7 3.10.0-1062.4.1.el7]
LU-12892	Resolved	Duplicate	Critical	Bug	WC Triage	Large directory feature is not enabled (REMOTE_PARENT_DIR)
LU-12893	Resolved	Fixed	Critical	Bug	Amir Shehata	lnet: peer ni selection broken
LU-12894	Resolved	Fixed	Major	Bug	Sebastien Buisson	SSK regression in 2.12.3
LU-12895	Resolved	Fixed	Minor	Bug	Sebastien Buisson	review-dne-selinux sanity test_185a: lu_object_attr()) ASSERTION( ((o)->lo_header->loh_attr & LOHA_EXISTS) != 0 ) failed
LU-12896	Resolved	Fixed	Minor	Bug	Sebastien Buisson	recovery-small test_110k: (gss_keyring.c:152:ctx_upcall_timeout_kr()) ASSERTION( key ) failed
LU-12897	Open	Unresolved	Minor	Bug	WC Triage	sanity test_102b: Timeout occurred after 165 mins, last suite running was sanity, restarting cluster to continue tests
LU-12898	Resolved	Fixed	Minor	Bug	Olaf Faaland	building lustre utils on ppc64le fails with error format expects llu but argument is __u64
LU-12899	Resolved	Fixed	Minor	Improvement	Qian Yingjin	Make Lustre build report the required package: kernel-rpm-macros
LU-129	Resolved	Fixed	Blocker	Bug	Niu Yawei	quotacheck fails when an OST is permanently deactivated
LU-1290	Resolved	Fixed	Blocker	Bug	Niu Yawei	ll_vfs_dq_transfer() is called when oo_guard is held
LU-12900	Open	Unresolved	Minor	Bug	WC Triage	sanity-lfsck test_2a: (4) unexpected status
LU-12901	Resolved	Fixed	Major	Bug	Serguei Smirnov	Failing to create a properly sized IB queue pair
LU-12902	Resolved	Won't Fix	Major	Bug	WC Triage	Lustre 2.12.3 patchless is broken with newest el7.7 kernel
LU-12903	Resolved	Fixed	Minor	Bug	James Nunez	lctl-pcc man page does not exist
LU-12904	Resolved	Fixed	Minor	Task	Shaun Tancheff	Support for linux kernel version 5.4
LU-12905	Resolved	Fixed	Trivial	Improvement	Alex Zhuravlev	sanity/51e can take less with debugging disabled
LU-12906	Resolved	Duplicate	Major	Bug	Amir Shehata	LBUG ASSERTION( rspt->rspt_cpt == cpt ) failed
LU-12907	Resolved	Duplicate	Major	Bug	Amir Shehata	LNet routers: LNetError: 14141:0:(lib-msg.c:894:lnet_finalize()) ASSERTION( !(((current_thread_info()->preempt_count) & ((((1UL << (10))-1) << ((0 + 8) + 8)) | (((1UL << (8))-1) << (0 + 8)) | (((1UL << (1))-1) << (((0 + 8) + 8) + 10)))))
LU-12908	Open	Unresolved	Minor	Bug	WC Triage	sanity-scrub: BUG: soft lockup - CPU#1 stuck for 22s! [OI_scrub:24284]
LU-12909	Open	Unresolved	Minor	Improvement	WC Triage	DNE3: prefer local network MDT for mkdir()
LU-1291	Resolved	Fixed	Blocker	Bug	Yang Sheng	Test failure on test suite replay-single 44c
LU-12910	Resolved	Fixed	Minor	Improvement	Andreas Dilger	osc.*.short_io_bytes parameter cannot be set to the maximum
LU-12911	Resolved	Fixed	Minor	Bug	Neil Brown	Setting a LOV EA can access or change outside allocated buffer
LU-12912	Resolved	Fixed	Minor	Bug	Peter Jones	fsck looping
LU-12913	Resolved	Fixed	Minor	Bug	Andreas Dilger	fsck found > 1M multilply-claimed blocks
LU-12914	Resolved	Fixed	Major	Bug	Bruno Faccini	(mdt_open.c:312:mdt_prep_ma_buf_from_rep()) ASSERTION( ma->ma_lmv == ((void *)0) && ma->ma_lmm == ((void *)0) ) failed
LU-12915	Open	Unresolved	Minor	New Feature	WC Triage	Add a debugfs variable listing fids with discarded dirty pages
LU-12916	Open	Unresolved	Minor	Improvement	Alex Zhuravlev	allow small/unaligned writes into writeback cache if not O_SYNC
LU-12917	Open	Unresolved	Minor	Improvement	WC Triage	Provide an official Lustre tarball
LU-12918	Open	Unresolved	Minor	Improvement	Qian Yingjin	PCC should tolerate backend running out of inodes
LU-12919	Resolved	Fixed	Minor	Bug	Chris Horn	Fix source specified remote destination send case
LU-1292	Resolved	Cannot Reproduce	Major	Bug	WC Triage	ldiskfs_ext_walk_space error
LU-12920	Resolved	Fixed	Minor	Bug	Minh Diep - TLC	build: lbuild script should not continue if it's missing ed
LU-12921	Open	Unresolved	Minor	Bug	WC Triage	sanity test_812: timeout
LU-12922	Open	Unresolved	Minor	Bug	WC Triage	pjdfstest chown_00: POSIX compliance failed on lustre
LU-12923	Resolved	Fixed	Minor	Technical task	Arshad Hussain	replace CLASSERT() with BUILD_BUG_ON()
LU-12924	Open	Unresolved	Minor	Improvement	WC Triage	scale precreate_batch for larger OSTs
LU-12925	Resolved	Fixed	Minor	Bug	Yang Sheng	interop: conf-sanity test 62 fails with “Restart of mds1 failed!”
LU-12926	Resolved	Cannot Reproduce	Major	Bug	Lai Siyao	lfs mkdir -c can cause repeated MDT indexes
LU-12927	Open	Unresolved	Minor	Bug	WC Triage	OSS hit Kernel panic - not syncing: Fatal machine check
LU-12928	Resolved	Fixed	Minor	Bug	Yang Sheng	recovery-small test_136: crash in sec2target_str() with review-dne-selinux-ssk
LU-12929	Resolved	Fixed	Trivial	Improvement	Neil Brown	Field net_state in struct lnet_net is never used, only set.  It should be discarded
LU-1293	Resolved	Won't Fix	Major	Bug	WC Triage	SLES10 patchless client compilation error
LU-12930	Resolved	Fixed	Minor	Improvement	Neil Brown	use schedule_timeout_{un,}interruptible where possible.
LU-12931	Resolved	Fixed	Critical	Improvement	Neil Brown	Fix minor errors with cfs_time_seconds usage
